year,district,contact_type_cd,sex_code_cd,race_code_cd,age_group,count
2016,4,GANGLTR,F,WWH,Juvenile,1
2016,4,GANGLTR,M,API,19-30,2
2016,4,GANGLTR,M,API,30-40,1
2016,4,GANGLTR,M,BLK,19-30,153
2016,4,GANGLTR,M,BLK,30-40,54
2016,4,GANGLTR,M,BLK,40-50,52
2016,4,GANGLTR,M,BLK,50-60,33
2016,4,GANGLTR,M,BLK,60 or older,4
2016,4,GANGLTR,M,BLK,Juvenile,70
2016,4,GANGLTR,M,WHT,40-50,1
2016,4,GANGLTR,M,WWH,19-30,13
2016,4,GANGLTR,M,WWH,30-40,1
2016,4,GANGLTR,M,WWH,50-60,1
2016,4,GANGLTR,M,WWH,Juvenile,3
2016,4,INVSTG,F,API,19-30,1
2016,4,INVSTG,F,API,50-60,1
2016,4,INVSTG,F,API,60 or older,1
2016,4,INVSTG,F,BLK,19-30,218
2016,4,INVSTG,F,BLK,30-40,86
2016,4,INVSTG,F,BLK,40-50,72
2016,4,INVSTG,F,BLK,50-60,57
2016,4,INVSTG,F,BLK,60 or older,12
2016,4,INVSTG,F,BLK,Juvenile,104
2016,4,INVSTG,F,I,40-50,1
2016,4,INVSTG,F,I,Juvenile,1
2016,4,INVSTG,F,WHT,19-30,17
2016,4,INVSTG,F,WHT,30-40,13
2016,4,INVSTG,F,WHT,40-50,5
2016,4,INVSTG,F,WHT,50-60,3
2016,4,INVSTG,F,WHT,Juvenile,6
2016,4,INVSTG,F,WWH,19-30,63
2016,4,INVSTG,F,WWH,30-40,16
2016,4,INVSTG,F,WWH,40-50,9
2016,4,INVSTG,F,WWH,50-60,1
2016,4,INVSTG,F,WWH,Juvenile,47
2016,4,INVSTG,M,API,19-30,8
2016,4,INVSTG,M,API,30-40,3
2016,4,INVSTG,M,API,40-50,1
2016,4,INVSTG,M,API,50-60,5
2016,4,INVSTG,M,API,Juvenile,4
2016,4,INVSTG,M,BLK,19-30,1725
2016,4,INVSTG,M,BLK,30-40,601
2016,4,INVSTG,M,BLK,40-50,492
