year,district,contact_type_cd,age_group,a_count
2017,20,INVSTG,19-30,708
2017,20,INVSTG,30-40,378
2017,20,INVSTG,40-50,255
2017,20,INVSTG,50-60,285
2017,20,INVSTG,60 or older,98
2017,20,INVSTG,Juvenile,429
2017,22,GANGLTR,19-30,4
2017,22,GANGLTR,30-40,4
2017,22,GANGLTR,40-50,12
2017,22,GANGLTR,50-60,11
2017,22,GANGLTR,60 or older,11
2017,22,INVSTG,19-30,947
2017,22,INVSTG,30-40,290
2017,22,INVSTG,40-50,178
2017,22,INVSTG,50-60,177
2017,22,INVSTG,60 or older,45
2017,22,INVSTG,Juvenile,661
2017,24,GANGLTR,19-30,34
2017,24,GANGLTR,30-40,6
2017,24,GANGLTR,50-60,1
2017,24,GANGLTR,Juvenile,8
2017,24,INVSTG,19-30,1483
2017,24,INVSTG,30-40,677
2017,24,INVSTG,40-50,373
2017,24,INVSTG,50-60,312
2017,24,INVSTG,60 or older,119
2017,24,INVSTG,Juvenile,853
2017,25,GANGLTR,19-30,241
2017,25,GANGLTR,30-40,34
2017,25,GANGLTR,40-50,23
2017,25,GANGLTR,50-60,26
2017,25,GANGLTR,60 or older,8
2017,25,GANGLTR,Juvenile,61
2017,25,INVSTG,19-30,2070
2017,25,INVSTG,30-40,946
2017,25,INVSTG,40-50,709
2017,25,INVSTG,50-60,438
2017,25,INVSTG,60 or older,114
2017,25,INVSTG,Juvenile,1123
2017,31,INVSTG,19-30,99
2017,31,INVSTG,30-40,33
2017,31,INVSTG,40-50,14
2017,31,INVSTG,50-60,5
2017,31,INVSTG,60 or older,1
2017,31,INVSTG,Juvenile,33
2017,41,INVSTG,19-30,3
2017,41,INVSTG,30-40,1
2018,1,GANGLTR,19-30,1
2018,1,GANGLTR,30-40,3
2018,1,GANGLTR,40-50,1
2018,1,INVSTG,19-30,1566
2018,1,INVSTG,30-40,877
2018,1,INVSTG,40-50,780
2018,1,INVSTG,50-60,818
2018,1,INVSTG,60 or older,266
2018,1,INVSTG,Juvenile,535
2018,2,GANGLTR,19-30,71
2018,2,GANGLTR,30-40,31
2018,2,GANGLTR,40-50,43
2018,2,GANGLTR,50-60,47
2018,2,GANGLTR,60 or older,14
2018,2,GANGLTR,Juvenile,42
2018,2,INVSTG,19-30,1340
2018,2,INVSTG,30-40,687
2018,2,INVSTG,40-50,810
2018,2,INVSTG,50-60,962
2018,2,INVSTG,60 or older,322
2018,2,INVSTG,Juvenile,801
2018,3,GANGLTR,19-30,244
2018,3,GANGLTR,30-40,51
2018,3,GANGLTR,40-50,20
2018,3,GANGLTR,50-60,14
2018,3,GANGLTR,60 or older,7
2018,3,GANGLTR,Juvenile,100
2018,3,INVSTG,19-30,1972
2018,3,INVSTG,30-40,777
2018,3,INVSTG,40-50,378
2018,3,INVSTG,50-60,286
2018,3,INVSTG,60 or older,97
2018,3,INVSTG,Juvenile,913
2018,4,GANGLTR,19-30,359
2018,4,GANGLTR,30-40,171
2018,4,GANGLTR,40-50,202
2018,4,GANGLTR,50-60,121
2018,4,GANGLTR,60 or older,39
2018,4,GANGLTR,Juvenile,185
2018,4,INVSTG,19-30,4379
2018,4,INVSTG,30-40,1550
2018,4,INVSTG,40-50,1009
2018,4,INVSTG,50-60,763
2018,4,INVSTG,60 or older,259
2018,4,INVSTG,Juvenile,1533
2018,5,GANGLTR,19-30,73
2018,5,GANGLTR,30-40,30
2018,5,GANGLTR,40-50,49
2018,5,GANGLTR,50-60,70
2018,5,GANGLTR,60 or older,37
2018,5,GANGLTR,Juvenile,16
2018,5,INVSTG,19-30,2840
2018,5,INVSTG,30-40,1014
2018,5,INVSTG,40-50,687
2018,5,INVSTG,50-60,714
2018,5,INVSTG,60 or older,202
2018,5,INVSTG,Juvenile,1107
2018,6,GANGLTR,19-30,230
2018,6,GANGLTR,30-40,118
