year,district,contact_type_cd,count,age_group,a_count,race_code_cd,r_count,sex_code_cd,s_count
2016,2,GANGLTR,261,50-60,14,BLK,259,M,250
2016,2,GANGLTR,261,50-60,14,WHT,1,F,11
2016,2,GANGLTR,261,50-60,14,WHT,1,M,250
2016,2,GANGLTR,261,50-60,14,WWH,1,F,11
2016,2,GANGLTR,261,50-60,14,WWH,1,M,250
2016,2,GANGLTR,261,60 or older,7,BLK,259,F,11
2016,2,GANGLTR,261,60 or older,7,BLK,259,M,250
2016,2,GANGLTR,261,60 or older,7,WHT,1,F,11
2016,2,GANGLTR,261,60 or older,7,WHT,1,M,250
2016,2,GANGLTR,261,60 or older,7,WWH,1,F,11
2016,2,GANGLTR,261,60 or older,7,WWH,1,M,250
2016,2,GANGLTR,261,Juvenile,102,BLK,259,F,11
2016,2,GANGLTR,261,Juvenile,102,BLK,259,M,250
2016,2,GANGLTR,261,Juvenile,102,WHT,1,F,11
2016,2,GANGLTR,261,Juvenile,102,WHT,1,M,250
2016,2,GANGLTR,261,Juvenile,102,WWH,1,F,11
2016,2,GANGLTR,261,Juvenile,102,WWH,1,M,250
2016,2,INVSTG,5293,19-30,1672,API,44,F,876
2016,2,INVSTG,5293,19-30,1672,API,44,M,4414
2016,2,INVSTG,5293,19-30,1672,API,44,X,3
2016,2,INVSTG,5293,19-30,1672,BLK,5064,F,876
2016,2,INVSTG,5293,19-30,1672,BLK,5064,M,4414
2016,2,INVSTG,5293,19-30,1672,BLK,5064,X,3
2016,2,INVSTG,5293,19-30,1672,I,12,F,876
2016,2,INVSTG,5293,19-30,1672,I,12,M,4414
2016,2,INVSTG,5293,19-30,1672,I,12,X,3
2016,2,INVSTG,5293,19-30,1672,P,5,F,876
2016,2,INVSTG,5293,19-30,1672,P,5,M,4414
2016,2,INVSTG,5293,19-30,1672,P,5,X,3
2016,2,INVSTG,5293,19-30,1672,WHI,1,F,876
2016,2,INVSTG,5293,19-30,1672,WHI,1,M,4414
2016,2,INVSTG,5293,19-30,1672,WHI,1,X,3
2016,2,INVSTG,5293,19-30,1672,WHT,101,F,876
2016,2,INVSTG,5293,19-30,1672,WHT,101,M,4414
2016,2,INVSTG,5293,19-30,1672,WHT,101,X,3
2016,2,INVSTG,5293,19-30,1672,WWH,66,F,876
2016,2,INVSTG,5293,19-30,1672,WWH,66,M,4414
2016,2,INVSTG,5293,19-30,1672,WWH,66,X,3
2016,2,INVSTG,5293,30-40,813,API,44,F,876
2016,2,INVSTG,5293,30-40,813,API,44,M,4414
2016,2,INVSTG,5293,30-40,813,API,44,X,3
2016,2,INVSTG,5293,30-40,813,BLK,5064,F,876
2016,2,INVSTG,5293,30-40,813,BLK,5064,M,4414
2016,2,INVSTG,5293,30-40,813,BLK,5064,X,3
2016,2,INVSTG,5293,30-40,813,I,12,F,876
2016,2,INVSTG,5293,30-40,813,I,12,M,4414
2016,2,INVSTG,5293,30-40,813,I,12,X,3
2016,2,INVSTG,5293,30-40,813,P,5,F,876
2016,2,INVSTG,5293,30-40,813,P,5,M,4414
2016,2,INVSTG,5293,30-40,813,P,5,X,3
2016,2,INVSTG,5293,30-40,813,WHI,1,F,876
2016,2,INVSTG,5293,30-40,813,WHI,1,M,4414
2016,2,INVSTG,5293,30-40,813,WHI,1,X,3
2016,2,INVSTG,5293,30-40,813,WHT,101,F,876
2016,2,INVSTG,5293,30-40,813,WHT,101,M,4414
2016,2,INVSTG,5293,30-40,813,WHT,101,X,3
2016,2,INVSTG,5293,30-40,813,WWH,66,F,876
2016,2,INVSTG,5293,30-40,813,WWH,66,M,4414
2016,2,INVSTG,5293,30-40,813,WWH,66,X,3
2016,2,INVSTG,5293,40-50,756,API,44,F,876
2016,2,INVSTG,5293,40-50,756,API,44,M,4414
2016,2,INVSTG,5293,40-50,756,API,44,X,3
2016,2,INVSTG,5293,40-50,756,BLK,5064,F,876
2016,2,INVSTG,5293,40-50,756,BLK,5064,M,4414
2016,2,INVSTG,5293,40-50,756,BLK,5064,X,3
2016,2,INVSTG,5293,40-50,756,I,12,F,876
2016,2,INVSTG,5293,40-50,756,I,12,M,4414
2016,2,INVSTG,5293,40-50,756,I,12,X,3
2016,2,INVSTG,5293,40-50,756,P,5,F,876
2016,2,INVSTG,5293,40-50,756,P,5,M,4414
2016,2,INVSTG,5293,40-50,756,P,5,X,3
2016,2,INVSTG,5293,40-50,756,WHI,1,F,876
2016,2,INVSTG,5293,40-50,756,WHI,1,M,4414
2016,2,INVSTG,5293,40-50,756,WHI,1,X,3
2016,2,INVSTG,5293,40-50,756,WHT,101,F,876
2016,2,INVSTG,5293,40-50,756,WHT,101,M,4414
2016,2,INVSTG,5293,40-50,756,WHT,101,X,3
2016,2,INVSTG,5293,40-50,756,WWH,66,F,876
2016,2,INVSTG,5293,40-50,756,WWH,66,M,4414
2016,2,INVSTG,5293,40-50,756,WWH,66,X,3
2016,2,INVSTG,5293,50-60,830,API,44,F,876
2016,2,INVSTG,5293,50-60,830,API,44,M,4414
2016,2,INVSTG,5293,50-60,830,API,44,X,3
2016,2,INVSTG,5293,50-60,830,BLK,5064,F,876
2016,2,INVSTG,5293,50-60,830,BLK,5064,M,4414
2016,2,INVSTG,5293,50-60,830,BLK,5064,X,3
2016,2,INVSTG,5293,50-60,830,I,12,F,876
2016,2,INVSTG,5293,50-60,830,I,12,M,4414
2016,2,INVSTG,5293,50-60,830,I,12,X,3
2016,2,INVSTG,5293,50-60,830,P,5,F,876
2016,2,INVSTG,5293,50-60,830,P,5,M,4414
2016,2,INVSTG,5293,50-60,830,P,5,X,3
2016,2,INVSTG,5293,50-60,830,WHI,1,F,876
2016,2,INVSTG,5293,50-60,830,WHI,1,M,4414
2016,2,INVSTG,5293,50-60,830,WHI,1,X,3
2016,2,INVSTG,5293,50-60,830,WHT,101,F,876
2016,2,INVSTG,5293,50-60,830,WHT,101,M,4414
2016,2,INVSTG,5293,50-60,830,WHT,101,X,3
2016,2,INVSTG,5293,50-60,830,WWH,66,F,876
2016,2,INVSTG,5293,50-60,830,WWH,66,M,4414
2016,2,INVSTG,5293,50-60,830,WWH,66,X,3
2016,2,INVSTG,5293,60 or older,234,API,44,F,876
2016,2,INVSTG,5293,60 or older,234,API,44,M,4414
2016,2,INVSTG,5293,60 or older,234,API,44,X,3
2016,2,INVSTG,5293,60 or older,234,BLK,5064,F,876
2016,2,INVSTG,5293,60 or older,234,BLK,5064,M,4414
2016,2,INVSTG,5293,60 or older,234,BLK,5064,X,3
2016,2,INVSTG,5293,60 or older,234,I,12,F,876
2016,2,INVSTG,5293,60 or older,234,I,12,M,4414
2016,2,INVSTG,5293,60 or older,234,I,12,X,3
2016,2,INVSTG,5293,60 or older,234,P,5,F,876
2016,2,INVSTG,5293,60 or older,234,P,5,M,4414
2016,2,INVSTG,5293,60 or older,234,P,5,X,3
2016,2,INVSTG,5293,60 or older,234,WHI,1,F,876
2016,2,INVSTG,5293,60 or older,234,WHI,1,M,4414
2016,2,INVSTG,5293,60 or older,234,WHI,1,X,3
2016,2,INVSTG,5293,60 or older,234,WHT,101,F,876
2016,2,INVSTG,5293,60 or older,234,WHT,101,M,4414
2016,2,INVSTG,5293,60 or older,234,WHT,101,X,3
2016,2,INVSTG,5293,60 or older,234,WWH,66,F,876
2016,2,INVSTG,5293,60 or older,234,WWH,66,M,4414
2016,2,INVSTG,5293,60 or older,234,WWH,66,X,3
2016,2,INVSTG,5293,Juvenile,988,API,44,F,876
2016,2,INVSTG,5293,Juvenile,988,API,44,M,4414
2016,2,INVSTG,5293,Juvenile,988,API,44,X,3
2016,2,INVSTG,5293,Juvenile,988,BLK,5064,F,876
2016,2,INVSTG,5293,Juvenile,988,BLK,5064,M,4414
2016,2,INVSTG,5293,Juvenile,988,BLK,5064,X,3
2016,2,INVSTG,5293,Juvenile,988,I,12,F,876
2016,2,INVSTG,5293,Juvenile,988,I,12,M,4414
2016,2,INVSTG,5293,Juvenile,988,I,12,X,3
2016,2,INVSTG,5293,Juvenile,988,P,5,F,876
2016,2,INVSTG,5293,Juvenile,988,P,5,M,4414
2016,2,INVSTG,5293,Juvenile,988,P,5,X,3
2016,2,INVSTG,5293,Juvenile,988,WHI,1,F,876
2016,2,INVSTG,5293,Juvenile,988,WHI,1,M,4414
2016,2,INVSTG,5293,Juvenile,988,WHI,1,X,3
2016,2,INVSTG,5293,Juvenile,988,WHT,101,F,876
2016,2,INVSTG,5293,Juvenile,988,WHT,101,M,4414
2016,2,INVSTG,5293,Juvenile,988,WHT,101,X,3
2016,2,INVSTG,5293,Juvenile,988,WWH,66,F,876
2016,2,INVSTG,5293,Juvenile,988,WWH,66,M,4414
2016,2,INVSTG,5293,Juvenile,988,WWH,66,X,3
2016,3,GANGLTR,525,19-30,256,API,1,F,17
2016,3,GANGLTR,525,19-30,256,API,1,M,508
2016,3,GANGLTR,525,19-30,256,BLK,520,F,17
2016,3,GANGLTR,525,19-30,256,BLK,520,M,508
2016,3,GANGLTR,525,19-30,256,I,3,F,17
2016,3,GANGLTR,525,19-30,256,I,3,M,508
2016,3,GANGLTR,525,19-30,256,WHT,1,F,17
2016,3,GANGLTR,525,19-30,256,WHT,1,M,508
2016,3,GANGLTR,525,30-40,74,API,1,F,17
2016,3,GANGLTR,525,30-40,74,API,1,M,508
2016,3,GANGLTR,525,30-40,74,BLK,520,F,17
2016,3,GANGLTR,525,30-40,74,BLK,520,M,508
2016,3,GANGLTR,525,30-40,74,I,3,F,17
2016,3,GANGLTR,525,30-40,74,I,3,M,508
2016,3,GANGLTR,525,30-40,74,WHT,1,F,17
2016,3,GANGLTR,525,30-40,74,WHT,1,M,508
2016,3,GANGLTR,525,40-50,32,API,1,F,17
2016,3,GANGLTR,525,40-50,32,API,1,M,508
2016,3,GANGLTR,525,40-50,32,BLK,520,F,17
2016,3,GANGLTR,525,40-50,32,BLK,520,M,508
2016,3,GANGLTR,525,40-50,32,I,3,F,17
2016,3,GANGLTR,525,40-50,32,I,3,M,508
2016,3,GANGLTR,525,40-50,32,WHT,1,F,17
2016,3,GANGLTR,525,40-50,32,WHT,1,M,508
2016,3,GANGLTR,525,50-60,17,API,1,F,17
2016,3,GANGLTR,525,50-60,17,API,1,M,508
2016,3,GANGLTR,525,50-60,17,BLK,520,F,17
2016,3,GANGLTR,525,50-60,17,BLK,520,M,508
2016,3,GANGLTR,525,50-60,17,I,3,F,17
2016,3,GANGLTR,525,50-60,17,I,3,M,508
2016,3,GANGLTR,525,50-60,17,WHT,1,F,17
2016,3,GANGLTR,525,50-60,17,WHT,1,M,508
2016,3,GANGLTR,525,60 or older,6,API,1,F,17
2016,3,GANGLTR,525,60 or older,6,API,1,M,508
2016,3,GANGLTR,525,60 or older,6,BLK,520,F,17
2016,3,GANGLTR,525,60 or older,6,BLK,520,M,508
2016,3,GANGLTR,525,60 or older,6,I,3,F,17
2016,3,GANGLTR,525,60 or older,6,I,3,M,508
2016,3,GANGLTR,525,60 or older,6,WHT,1,F,17
2016,3,GANGLTR,525,60 or older,6,WHT,1,M,508
2016,3,GANGLTR,525,Juvenile,140,API,1,F,17
2016,3,GANGLTR,525,Juvenile,140,API,1,M,508
2016,3,GANGLTR,525,Juvenile,140,BLK,520,F,17
