year,district,contact_type_cd,count
2020,19,INVSTG,2466
2020,20,GANGLTR,55
2020,20,INVSTG,1416
2020,22,INVSTG,1928
2020,24,GANGLTR,111
2020,24,INVSTG,2554
2020,24,PRO,3
2020,25,GANGLTR,12
2020,25,INVSTG,6257
2020,25,PRO,13
2020,31,GANGLTR,3
2020,31,INVSTG,248
2020,31,PRO,1
2020,41,INVSTG,1
2021,1,INVSTG,2871
2021,2,GANGLTR,95
2021,2,INVSTG,1938
2021,3,GANGLTR,169
2021,3,INVSTG,1943
2021,4,GANGLTR,201
2021,4,INVSTG,3380
2021,5,GANGLTR,52
2021,5,INVSTG,3127
2021,6,GANGLTR,104
2021,6,INVSTG,3634
2021,7,GANGLTR,31
2021,7,INVSTG,5937
2021,7,PRO,1
2021,8,GANGLTR,295
2021,8,INVSTG,3919
2021,8,PRO,6
2021,9,GANGLTR,72
2021,9,INVSTG,3094
2021,10,GANGLTR,54
2021,10,INVSTG,3238
2021,11,GANGLTR,171
2021,11,INVSTG,8754
2021,11,PRO,2
2021,12,GANGLTR,316
2021,12,INVSTG,2310
2021,12,PRO,1
2021,14,INVSTG,1875
2021,14,PRO,1
2021,15,GANGLTR,259
2021,15,INVSTG,2855
2021,15,PRO,2
2021,16,INVSTG,1907
2021,16,PRO,1
2021,17,GANGLTR,4
2021,17,INVSTG,1140
2021,18,GANGLTR,276
2021,18,INVSTG,2838
2021,19,GANGLTR,52
2021,19,INVSTG,2365
2021,19,PRO,1
2021,20,GANGLTR,40
2021,20,INVSTG,1395
2021,22,INVSTG,1923
2021,24,GANGLTR,133
2021,24,INVSTG,1816
2021,25,GANGLTR,51
2021,25,INVSTG,3639
2021,25,PRO,8
2021,31,GANGLTR,2
2021,31,INVSTG,166
2021,41,INVSTG,5
2021,51,INVSTG,2
2022,1,GANGLTR,4
2022,1,INVSTG,3424
2022,1,PRO,2
2022,2,GANGLTR,70
2022,2,INVSTG,3101
2022,3,GANGLTR,100
2022,3,INVSTG,2164
2022,3,PRO,1
2022,4,GANGLTR,30
2022,4,INVSTG,3168
2022,5,GANGLTR,7
2022,5,INVSTG,3774
2022,6,GANGLTR,20
2022,6,INVSTG,3491
2022,7,GANGLTR,35
2022,7,INVSTG,4131
2022,8,GANGLTR,116
2022,8,INVSTG,3064
2022,8,PRO,3
2022,9,GANGLTR,10
2022,9,INVSTG,2990
2022,9,PRO,1
2022,10,GANGLTR,132
2022,10,INVSTG,3662
2022,11,GANGLTR,126
2022,11,INVSTG,5685
2022,11,PRO,2
2022,12,GANGLTR,142
2022,12,INVSTG,3458
2022,14,GANGLTR,3
2022,14,INVSTG,1971
2022,15,GANGLTR,200
2022,15,INVSTG,2492
2022,16,INVSTG,2630
2022,16,PRO,1
2022,17,INVSTG,1686
2022,18,GANGLTR,394
2022,18,INVSTG,3129
2022,19,GANGLTR,32
2022,19,INVSTG,2416
2022,20,GANGLTR,20
2022,20,INVSTG,2110
2022,22,GANGLTR,2
2022,22,INVSTG,2264
2022,24,GANGLTR,44
2022,24,INVSTG,2776
2022,24,PRO,1
2022,25,GANGLTR,52
2022,25,INVSTG,3544
2022,25,PRO,6
2022,31,INVSTG,200
2022,41,INVSTG,2
2023,1,GANGLTR,5
2023,1,INVSTG,5078
2023,2,GANGLTR,33
2023,2,INVSTG,3778
2023,2,PRO,1
2023,3,GANGLTR,178
2023,3,INVSTG,2254
2023,4,GANGLTR,7
2023,4,INVSTG,2711
2023,5,INVSTG,4156
2023,5,PRO,1
2023,6,INVSTG,4563
2023,7,GANGLTR,9
2023,7,INVSTG,5570
2023,7,PRO,1
2023,8,GANGLTR,90
2023,8,INVSTG,3488
2023,8,PRO,13
2023,9,GANGLTR,6
2023,9,INVSTG,3424
2023,10,GANGLTR,30
2023,10,INVSTG,3810
2023,11,GANGLTR,279
2023,11,INVSTG,6442
2023,11,PRO,1
2023,12,GANGLTR,44
2023,12,INVSTG,3239
2023,14,GANGLTR,5
2023,14,INVSTG,2544
2023,15,GANGLTR,234
2023,15,INVSTG,2717
2023,16,INVSTG,2632
2023,16,PRO,1
2023,17,INVSTG,2698
2023,18,GANGLTR,223
2023,18,INVSTG,3694
2023,18,PRO,1
2023,19,GANGLTR,92
2023,19,INVSTG,2706
2023,19,PRO,1
2023,20,GANGLTR,49
2023,20,INVSTG,2629
2023,22,INVSTG,2190
2023,24,GANGLTR,92
2023,24,INVSTG,2681
2023,25,GANGLTR,35
2023,25,INVSTG,3847
2023,31,INVSTG,201
2023,41,INVSTG,9
2023,61,INVSTG,2
